,date,temperature_2m_max,dew_point_2m_mean,et0_fao_evapotranspiration,soil_moisture_0_to_100cm_mean,wet_bulb_temperature_2m_mean
186,2018-07-06,28.4,14.266667,5.3834653,0.23443079,17.471838
187,2018-07-07,29.0,14.354165,5.8110223,0.23189588,17.703335
188,2018-07-08,29.4,12.793751,5.268217,0.22927254,16.560984
189,2018-07-09,27.6,13.70625,4.1697335,0.22833705,16.54982
190,2018-07-10,21.0,10.202084,3.8552876,0.22810419,13.182622
191,2018-07-11,22.1,11.779166,3.5000527,0.23018004,14.114536
192,2018-07-12,22.8,12.522918,3.5636604,0.23279625,14.761657
193,2018-07-13,25.15,14.197917,4.0675335,0.23370671,15.957252
194,2018-07-14,25.15,14.120833,4.370253,0.22992127,16.481777
195,2018-07-15,27.85,11.5354185,5.6960225,0.22626168,15.5495
196,2018-07-16,27.45,11.145833,5.119849,0.22337794,15.39183
197,2018-07-17,23.65,10.283334,4.4938264,0.22188294,13.854988
198,2018-07-18,23.1,11.635418,3.5020404,0.2211017,14.867208
199,2018-07-19,26.65,11.0270815,4.540957,0.22098835,15.202637
200,2018-07-20,24.3,12.477084,3.244477,0.22056669,15.407319
201,2018-07-21,25.7,13.729168,4.2422605,0.22154708,16.558676
202,2018-07-22,27.4,14.102082,3.990523,0.21976878,17.229063
203,2018-07-23,29.95,14.385415,5.7474346,0.21527083,17.905617
204,2018-07-24,28.0,15.270833,5.1636434,0.2125683,17.957176
205,2018-07-25,29.55,14.2145815,5.134822,0.2120362,17.661798
206,2018-07-26,32.7,15.7770815,5.959316,0.21050914,19.226133
207,2018-07-27,30.85,16.729164,4.5808487,0.20493752,18.895666
208,2018-07-28,21.1,11.400001,4.5670314,0.21016376,14.233693
209,2018-07-29,20.2,15.041667,1.9544668,0.21339166,16.00992
210,2018-07-30,22.8,14.891666,3.3592267,0.21490665,16.509933
211,2018-07-31,23.1,12.529168,3.8437304,0.21673459,14.872468
212,2018-08-01,24.4,11.895833,4.4957023,0.21377917,14.459301
213,2018-08-02,28.3,14.747916,4.807498,0.20912375,16.950943
214,2018-08-03,30.25,16.670835,5.195343,0.20425753,19.338627
215,2018-08-04,27.7,14.406249,5.223984,0.20010708,17.637384
216,2018-08-05,27.8,13.514584,5.107995,0.1984867,16.54101
217,2018-08-06,30.2,13.356251,5.343665,0.19657208,17.013891
218,2018-08-07,29.7,14.960415,4.7254586,0.19663042,17.820032
219,2018-08-08,22.7,9.708332,4.5112233,0.19969212,13.561381
220,2018-08-09,17.25,12.470834,1.2021164,0.20440833,13.569126
221,2018-08-10,18.4,9.729166,2.5472329,0.21178333,11.604676
222,2018-08-11,21.1,9.924999,3.3697085,0.21329415,12.075128
223,2018-08-12,20.85,14.354167,1.947733,0.21491085,15.445144
224,2018-08-13,22.7,14.533332,2.9814627,0.22190958,15.888238
225,2018-08-14,23.45,12.806248,3.257749,0.22089832,14.929263
226,2018-08-15,23.9,14.518752,2.9682462,0.21907414,16.037052
227,2018-08-16,19.45,13.162499,1.8343098,0.22192502,14.619854
228,2018-08-17,20.85,10.166667,3.3996718,0.22495793,12.528161
229,2018-08-18,21.8,13.247914,2.764134,0.22354628,15.003574
230,2018-08-19,26.6,15.525001,3.150665,0.22378373,17.001204
231,2018-08-20,24.2,16.275,2.6536424,0.22379458,17.565348
232,2018-08-21,25.2,15.708333,2.8901067,0.22341458,17.271614
233,2018-08-22,24.15,15.314583,2.7331495,0.22323589,16.65278
234,2018-08-23,21.9,13.691667,2.9043937,0.22626664,15.341248
235,2018-08-24,18.0,7.702083,3.2838938,0.22793835,10.433444
236,2018-08-25,18.0,7.210417,3.01367,0.2307737,9.751591
237,2018-08-26,17.95,11.933333,0.9534277,0.23694497,12.729703
238,2018-08-27,19.25,11.706249,2.6759574,0.24670668,13.547578
239,2018-08-28,19.9,11.737499,2.4829433,0.24641581,13.391725
240,2018-08-29,19.6,11.466667,1.9871217,0.24685502,12.911488
241,2018-08-30,19.0,9.006249,2.9142685,0.24706914,11.415032
242,2018-08-31,19.65,10.793751,2.4134786,0.2432221,12.397199
243,2018-09-01,22.35,10.379166,3.4835284,0.2401008,12.6698675
244,2018-09-02,22.35,9.247918,3.5752363,0.23539467,12.036017
245,2018-09-03,22.4,10.795834,2.9862394,0.22936165,12.918438
246,2018-09-04,20.55,11.079166,2.8305953,0.22808999,12.889903
247,2018-09-05,20.05,11.977084,2.053856,0.22923423,13.583907
248,2018-09-06,20.95,9.904166,2.9602218,0.22935331,12.106049
249,2018-09-07,17.85,6.2770824,2.9689398,0.22915626,9.3657875
250,2018-09-08,18.8,9.54375,1.8910226,0.22886294,11.188332
251,2018-09-09,22.5,12.2,2.9212918,0.23017542,14.138003
252,2018-09-10,20.95,10.827084,3.2154403,0.22814,12.995911
253,2018-09-11,22.75,15.481252,2.088741,0.22699249,16.546288
254,2018-09-12,16.45,10.287499,1.2791001,0.23133163,11.686695
255,2018-09-13,19.25,7.0562496,3.02022,0.23110545,9.680539
256,2018-09-14,17.25,8.810417,1.9062445,0.22989501,10.656383
257,2018-09-15,19.9,10.329165,2.3180418,0.22923954,12.106018
258,2018-09-16,22.0,12.212501,2.9728985,0.22846298,14.013047
259,2018-09-17,23.35,12.408333,3.6243916,0.22590713,15.055577
260,2018-09-18,23.15,13.556249,3.1135793,0.22277834,15.440722
261,2018-09-19,22.1,14.295835,3.0354326,0.22305793,15.81884
262,2018-09-20,20.3,14.587499,2.4308949,0.22410877,15.874462
263,2018-09-21,17.75,7.0,3.0830722,0.23172837,9.947501
264,2018-09-22,13.3,8.683333,0.9645634,0.23257668,9.750156
265,2018-09-23,13.7,6.331249,1.1915292,0.24288087,7.9969764
266,2018-09-24,14.6,4.258333,2.1507542,0.24698044,6.6391444
267,2018-09-25,16.15,5.1375,2.1841924,0.24568628,7.225542
268,2018-09-26,19.9,7.4541664,2.486649,0.24324833,9.475907
269,2018-09-27,21.2,8.118751,2.6760328,0.23714085,10.354049
270,2018-09-28,15.75,6.1375003,2.26021,0.23170881,8.889808
271,2018-09-29,16.1,5.6666665,2.0080845,0.23096539,7.559107
272,2018-09-30,14.9,5.8333325,1.8189455,0.22720338,7.6762867
273,2018-10-01,13.45,3.8916664,2.1799974,0.2264537,6.84433
274,2018-10-02,19.1,10.474999,1.9501997,0.22672336,11.97981
275,2018-10-03,17.4,10.572918,1.3959576,0.22770298,11.762128
276,2018-10-04,18.5,11.145833,1.5412285,0.2279212,11.855209
277,2018-10-05,21.35,11.554166,1.8196566,0.22749664,12.53131
278,2018-10-06,12.95,9.012499,0.6190956,0.22986335,9.46153
279,2018-10-07,13.6,4.6583333,1.6926926,0.23584707,6.6220264
280,2018-10-08,15.95,7.5708327,1.573091,0.23600417,8.99887
281,2018-10-09,19.45,9.556251,1.9943825,0.23515625,10.940526
282,2018-10-10,22.2,12.418751,2.0664241,0.23185174,13.505063
283,2018-10-11,20.85,13.479168,1.89718,0.23139541,14.600342
284,2018-10-12,20.8,11.860416,3.117227,0.23145957,14.064242
285,2018-10-13,22.8,14.51875,3.4131145,0.23143287,16.638025
286,2018-10-14,18.0,11.922916,0.58679914,0.23745875,12.395967
287,2018-10-15,15.95,12.002083,0.58339816,0.25336504,12.333275
288,2018-10-16,20.1,12.702085,1.6397116,0.2552725,13.456493
289,2018-10-17,15.75,11.575,0.46915796,0.25734422,11.982933
290,2018-10-18,15.15,8.483335,1.2002809,0.25890085,9.63711
291,2018-10-19,14.55,5.63125,1.2400964,0.2583204,6.828753
292,2018-10-20,16.45,7.7999997,1.275304,0.2580484,8.467893
293,2018-10-21,16.6,9.1,1.4112072,0.25823417,10.008612
294,2018-10-22,12.8,4.489583,1.5224568,0.25769874,6.440062
295,2018-10-23,15.85,6.7812505,1.5613323,0.2564355,8.400479
296,2018-10-24,16.45,9.070833,1.2073208,0.25568336,9.958461
297,2018-10-25,13.5,6.5083337,0.9960679,0.25503293,7.4899993
298,2018-10-26,10.55,4.5291667,0.9733154,0.25545424,5.9593887
299,2018-10-27,7.45,0.20208333,1.2106628,0.25634083,2.3857436
300,2018-10-28,9.25,2.247917,1.1561402,0.2577804,3.83556
301,2018-10-29,8.75,0.90416676,1.108412,0.25909495,2.6587846
302,2018-10-30,9.0,2.9937503,0.88003314,0.2608297,4.3008714
303,2018-10-31,12.6,3.5125,1.1103308,0.26081625,4.987785
304,2018-11-01,11.45,7.4895844,0.39740807,0.2658763,7.8499866
305,2018-11-02,10.45,2.0500002,0.8580916,0.2690234,2.9699242
306,2018-11-03,13.05,4.6875,1.2050083,0.26825625,6.4160514
307,2018-11-04,12.9,6.4354167,0.8494807,0.2681308,7.642826
308,2018-11-05,15.95,9.433332,0.79074556,0.2689158,9.959361
309,2018-11-06,14.85,10.541667,0.52252144,0.27027956,10.977319
310,2018-11-07,13.55,9.220834,0.9074906,0.27442163,9.998895
311,2018-11-08,13.5,5.7000003,1.1323253,0.27530456,7.101946
312,2018-11-09,13.15,7.616667,1.0657814,0.27565172,8.625523
313,2018-11-10,12.8,9.189584,0.7103391,0.28434542,9.7733755
314,2018-11-11,12.95,7.3020835,0.98116076,0.28976002,8.397635
315,2018-11-12,13.05,8.345833,0.8357413,0.2901425,9.173637
316,2018-11-13,13.05,7.114584,0.9169115,0.28955373,8.146569
317,2018-11-14,14.3,7.995834,0.9076212,0.28916046,8.822801
318,2018-11-15,15.15,11.241669,0.42068583,0.28882954,11.518308
319,2018-11-16,11.75,9.235416,0.3648626,0.28925505,9.571555
320,2018-11-17,10.8,5.772917,0.73261315,0.28942382,6.5995765
321,2018-11-18,10.75,3.689583,1.0031581,0.28965077,5.1409583
322,2018-11-19,7.75,2.9541671,0.9245821,0.28952628,4.433082
323,2018-11-20,4.7,2.075,0.37993398,0.2918571,2.7341912
324,2018-11-21,7.1,1.0375,0.53533936,0.29671833,1.7497905
325,2018-11-22,4.45,-0.07708324,0.22750042,0.29709882,0.09843389
326,2018-11-23,9.3,5.402083,0.34053257,0.29700714,5.7701516
327,2018-11-24,8.7,6.2812495,0.3253628,0.29869923,6.658058
328,2018-11-25,7.8,4.1083326,0.43482858,0.29947588,4.8748803
329,2018-11-26,7.75,3.502083,0.39648986,0.29965547,4.222565
330,2018-11-27,10.1,4.441666,0.30579484,0.30027965,4.6632943
331,2018-11-28,13.65,10.05,0.57180214,0.3054959,10.597816
332,2018-11-29,13.7,8.866668,0.8836365,0.30942544,9.769824
333,2018-11-30,11.05,5.65625,0.7502169,0.31022584,6.7394967
334,2018-12-01,12.6,8.420833,0.31913593,0.31328627,8.905368
335,2018-12-02,14.45,11.147918,0.65885836,0.31990334,11.672973
336,2018-12-03,12.85,7.6687503,0.62974846,0.32056627,8.339753
337,2018-12-04,6.95,3.2375002,0.34387907,0.32028335,3.6566296
338,2018-12-05,12.45,9.077083,0.29192203,0.3260217,9.416009
339,2018-12-06,12.55,10.127083,0.3061809,0.32859915,10.459936
340,2018-12-07,12.85,7.2645836,0.77068555,0.33557543,8.266646
341,2018-12-08,11.65,5.1979165,1.363351,0.33931458,6.844494
342,2018-12-09,9.95,4.627084,0.9401708,0.33963045,5.9619484
343,2018-12-10,8.7,4.316667,0.38113663,0.3392104,4.9494576
344,2018-12-11,8.35,3.658333,0.3134035,0.3382937,3.9631708
345,2018-12-12,7.05,2.1333337,0.4864163,0.33751926,3.3432076
